Direction,Pin Name,Type,Description
Input,Name,STRING,Descriptive name of the function block
Input,Description,STRING,Longer description of motor's purpose.
Input,Start_Cmd,BOOL,Command to start the motor.
Input,Stop_Cmd,BOOL,Command to stop the motor.
Input,Speed_High_Cmd,BOOL,Command for high speed.
Input,Speed_Low_Cmd,BOOL,Command for low speed.
Input,Inhibit,BOOL,Inhibits starting the motor and can receive alarm signals.
Output,Motor_Start_Out,BOOL,Output to motor starter.
Output,FB_Running,BOOL,Feedback indicating motor is running.
Output,FB_Trip,BOOL,Feedback indicating motor has tripped.
Output,FB_HighSpeed,BOOL,Feedback indicating high speed is active.
Output,FB_LowSpeed,BOOL,Feedback indicating low speed is active.
Output,Alarm_Speed_Error,BOOL,Indicates failure to achieve commanded speed or speed conflict.
