* Function Blocks *
ANALOG_IN PIT-103
PID_BASIC PIC-102
VALVE_ELECTRIC PV-101
BOOL_IN VDU_START_OK
BOOL_IN MAINT_BYPASS_OK
BOOL_IN PV-101_FAULT

* Variables *
REAL PIT_103_ColumnPressure_PV
REAL PIC_102_ValveCommand_MV
REAL PV_101_ValvePosition
REAL PV_101_ManualPosition
BOOL VDU_START_OK_DI
BOOL MAINT_BYPASS_OK_DI
BOOL HP_Trip_Reset

* Functions *
NOT ValveManual_NOT
NOT TxFault_NOT
NOT LowPressure_OK_NOT
AND PID_AutoEnable_AND
OR ValveInhibit_OR
OR PIDInhibit_OR
GT HPTrip_GT
OR ValveManual_OR
NOT Reset_NOT
OR Trip_OR
AND Latch_AND

* Data Connections *
VDU_START_OK_DI, VDU_START_OK.Bool_In
MAINT_BYPASS_OK_DI, MAINT_BYPASS_OK.Bool_In
PV-101.Position_Error, PV-101_FAULT.Bool_In
PIT-103.PV, PIC-102.PV
PIC-102.XOUT, PV-101.Control_Signal
PIT-103.PV, HPTrip_GT.IN1
HP_Trip_Reset, Reset_NOT.IN
Reset_NOT.OUT, Latch_AND.IN1
HPTrip_GT.OUT, Trip_OR.IN1
Latch_AND.OUT, Trip_OR.IN2
Trip_OR.OUT, Latch_AND.IN2
VDU_START_OK.Bool_Out, PID_AutoEnable_AND.IN1
ValveManual_NOT.OUT, PID_AutoEnable_AND.IN2
TxFault_NOT.OUT, PID_AutoEnable_AND.IN3
LowPressure_OK_NOT.OUT, PID_AutoEnable_AND.IN4
PID_AutoEnable_AND.OUT, PIC-102.AUTO
MAINT_BYPASS_OK.Bool_Out, ValveManual_OR.IN1
PIT-103.General_Fault, TxFault_NOT.IN
PIC-102.PV_Low_Alarm, LowPressure_OK_NOT.IN
PIT-103.General_Fault, PIDInhibit_OR.IN1
Trip_OR.OUT, PIDInhibit_OR.IN2
PIDInhibit_OR.OUT, PIC-102.Inhibit
Trip_OR.OUT, ValveInhibit_OR.IN1
PV-101_FAULT.Bool_Out, ValveInhibit_OR.IN2
ValveInhibit_OR.OUT, PV-101.Inhibit
Trip_OR.OUT, ValveManual_OR.IN2
ValveManual_OR.OUT, PV-101.Manual_Mode
ValveManual_OR.OUT, ValveManual_NOT.IN
PV_101_ManualPosition, PV-101.Manual_Position
PIT-103.PV, PIT_103_ColumnPressure_PV
PIC-102.XOUT, PIC_102_ValveCommand_MV
PV-101.Valve_Position, PV_101_ValvePosition

* Parameter Data Connections *
47.5, PIT-103.Scaling_Slope
-190, PIT-103.Scaling_Offset
80, PIT-103.PV_High
20, PIT-103.PV_Low
TRUE, PIT-103.Alarm_Enable
50, PIC-102.SP
0, PIC-102.MV_MIN
100, PIC-102.MV_MAX
1.8, PIC-102.KP
2.0, PIC-102.TR
0.5, PIC-102.TD
80, PIC-102.PV_High
5, PIC-102.PV_Low
5, PIC-102.Deviation_Limit
100, PV-101.Open_Limit
0, PV-101.Close_Limit
120, HPTrip_GT.IN2

