* Function Blocks *
DIGITAL_IN ESD-501
PID_BASIC FC-103
ANALOG_IN FT-103
VALVE_ELECTRIC FV-103
PID_BASIC PC-501
ANALOG_IN PT-501
ANALOG_IN PT-502
PID_BASIC TC-501
ANALOG_IN TT-101
VALVE_ELECTRIC TV-501

* Variables *
REAL FC103_SP_Operator
REAL FC103_SP_Reduced
REAL TC501_SP_Fixed
REAL FT103_H2Flow_PV
REAL FC103_MV_to_FV103
REAL TT101_ReactorOutletTemp_PV
REAL TC501_MV_to_TV501
REAL PT501_ReactorPressure_PV
REAL PT502_ReactorInletPressure_PV

* Functions *
OR FC103_Disable_OR
AND FC103_AutoEnable_AND
NOT ESD_OK_NOT
NOT FT103_OK_NOT
AND TC501_AutoEnable_AND
NOT TT101_OK_NOT
TON TV501_OpenDelay_TON
NOT PT502_Permissive_NOT
OR TV501_Inhibit_OR
MULT FC103_SP_Reduce_MULT
OR TV501_Base_OR

* Data Connections * 
FT-103.PV, FC-103.PV
FC-103.XOUT, FV-103.Control_Signal
TT-101.PV, TC-501.PV
TC-501.XOUT, TV-501.Control_Signal
PT-501.PV, PC-501.PV
ESD-501.DI_Out, ESD_OK_NOT.IN
FT-103.General_Fault, FT103_OK_NOT.IN
TT-101.General_Fault, TT1 01_OK_NOT.IN
ESD_OK_NOT.OUT, FC103_AutoEnable_AND.IN1
FT103_OK_NOT.OUT, FC103_AutoEnable_AND.IN2
FC103_AutoEnable_AND.OUT, FC-103.AUTO
ESD_OK_NOT.OUT, TC501_AutoEnable_AND.IN1
TT101_OK_NOT.OUT, TC501_AutoEnable_AND.IN2
TC501_AutoEnable_AND.OUT, TC-501.AUTO
ESD-501.DI_Out, FC103_Disable_OR.IN1
TT-101.High_Alarm, FC103_Disable_OR.IN2
FC103_Disable_OR.OUT, FC-103.Inhibit
FC103_Disable_OR.OUT, FV-103.Inhibit
FC103_Disable_OR.OUT, FV-103.Manual_Mode
ESD-501.DI_Out, TV501_Base_OR.IN1
TT-101.General_Fault, TV501_Base_OR.IN2
TV501_Base_OR.OUT, TV-501.Manual_Mode
PT-502.High_Alarm, TV501_OpenDelay_TON.IN
TV501_OpenDelay_TON.Q, PT502_Permissive_NOT.IN
TV501_Base_OR.OUT, TV501_Inhibit_OR.IN1
PT502_Permissive_NOT.OUT, TV501_Inhibit_OR.IN2
TV501_Inhibit_OR.OUT, TV-501.Inhibit
FC103_SP_Operator, FC103_SP_Reduce_MULT.IN1
FC103_SP_Reduce_MULT.OUT, FC-103.SP
FT-103.PV, FT103_H2Flow_PV
FC-103.XOUT, FC103_MV_to_FV103
TT-101.PV, TT101_ReactorOutletTemp_PV
TC-501.XOUT, TC501_MV_to_TV501
PT-501.PV, PT501_ReactorPressure_PV
PT-502.PV, PT502_ReactorInletPressure_PV

* Parameter Data Connections *
1600, FT-103.PV_High
400, FT-103.PV_Low
125, FT-103.Scaling_Slope
-500, FT-103.Scaling_Offset
TRUE, FT-103.Alarm_Enable
1.8, FC-103.KP
0.5, FC-103.TR
0.1, FC-103.TD
0, FC-103.MV_MIN
100, FC-103.MV_MAX
1600, FC-103.PV_High
400, FC-103.PV_Low
20, FC-103.Deviation_Limit
375, TC-501.SP
2.5, TC-501.KP
0.8, TC-501.TR
0.2, TC-501.TD
0, TC-501.MV_MIN
100, TC-501.MV_MAX
415, TC-501.PV_High
290, TC-501.PV_Low
1, TC-501.Deviation_Limit
50, PT-501.PV_High
TRUE, PT-501.Alarm_Enable
10, PT-502.PV_High
TRUE, PT-502.Alarm_Enable
100, FV-103.Open_Limit
0, FV-103.Close_Limit
0, FV-103.Manual_Position
100, TV-501.Open_Limit
0, TV-501.Close_Limit
100, TV-501.Manual_Position
T#15s, TV501_OpenDelay_TON.PT
0.5, FC103_SP_Reduce_MULT.IN2

