* Function Blocks *
ANALOG_IN PT-106
PID_BASIC PIC-101
VALVE_ELECTRIC FV-102
BOOL_IN LC-801
TON PressDev30s_TON

* Variables *
REAL PT106_KODrumPressure_PV
REAL PIC101_ControllerOutput_To_FV102
REAL FV102_PositionFeedback
BOOL LC801_LevelHigh
REAL PIC101_LastOut

* Functions *
OR PIDInhibit_OR
OR PressAlarm_OR
NOT PIDAuto_NOT

* Data Connections * 
PT-106.PV, PIC-101.PV
PIC-101.XOUT, FV-102.Control_Signal
PT-106.General_Fault, PIDInhibit_OR.IN1
FV-102.Position_Error, PIDInhibit_OR.IN2
PIDInhibit_OR.OUT, PIC-101.Inhibit
LC801_LevelHigh, LC-801.Bool_In
LC-801.Bool_Out, FV-102.Inhibit
PIC-101.PV_High_Alarm, PressAlarm_OR.IN1
PIC-101.PV_Low_Alarm, PressAlarm_OR.IN2
PressAlarm_OR.OUT, PressDev30s_TON.IN
PressDev30s_TON.Q, FV-102.Manual_Mode
PT-106.General_Fault, PIDAuto_NOT.IN
PIDAuto_NOT.OUT, PIC-101.AUTO
PT-106.PV, PT106_KODrumPressure_PV
PIC-101.XOUT, PIC101_ControllerOutput_To_FV102
FV-102.Feedback_Pos, FV102_PositionFeedback
PIC-101.XOUT, PIC101_LastOut
PIC101_LastOut, PIC-101.X0

* Parameter Data Connections *
0.3125, PT-106.Scaling_Slope
-1.25, PT-106.Scaling_Offset
5.0, PT-106.PV_High
0.0, PT-106.PV_Low
1.5, PIC-101.SP
3.2, PIC-101.KP
0.5, PIC-101.TR
0.1, PIC-101.TD
0.0, PIC-101.MV_MIN
100.0, PIC-101.MV_MAX
1.8, PIC-101.PV_High
1.2, PIC-101.PV_Low
TRUE, LC-801.Alarm_OnTrue
100.0, FV-102.Open_Limit
0.0, FV-102.Close_Limit
0.0, FV-102.Manual_Position
T#30s, PressDev30s_TON.PT

