* Function Blocks *
RATIO_CONTROL FFIC-103
PID_BASIC FIC-104
VALVE_ELECTRIC FV-105
ANALOG_IN FT-101
ANALOG_IN FT-102
ANALOG_IN PIT-105
ANALOG_IN PIT-106
ANALOG_IN PT-103
ANALOG_IN PT-104
ANALOG_IN PT-108
BOOL_IN SW-SCREEN-1
BOOL_IN SW-SCREEN-2
BOOL_IN SW-SCREEN-3
BOOL_IN SW-SCREEN-4
BOOL_IN SW-SCREEN-5
BOOL_IN SW-SCREEN-6
BOOL_IN RES-SCREEN-1
BOOL_IN RES-SCREEN-2
BOOL_IN RES-SCREEN-3
BOOL_IN RES-SCREEN-4

* Variables *
REAL FT101_SupplyAirFlow_PV
REAL FT102_ScreenAirFlow_PV
REAL PT103_UpstreamPressure_PV
REAL PT104_DownstreamPressure_PV
REAL PIT105_CompressedAirPressure_PV
REAL PIT106_CleaningSystemPressure_PV
REAL PT108_SupplyPressure_PV
REAL FFIC103_SlaveSetpoint_FT102Flow
REAL FIC104_ValveCommand_Percent
REAL FV105_ValvePosition_Percent
REAL FV105_FeedbackPosition_Percent
BOOL SW_SCREEN_1_Status
BOOL SW_SCREEN_2_Status
BOOL SW_SCREEN_3_Status
BOOL SW_SCREEN_4_Status
BOOL SW_SCREEN_5_Status
BOOL SW_SCREEN_6_Status
BOOL RES_SCREEN_1_Status
BOOL RES_SCREEN_2_Status
BOOL RES_SCREEN_3_Status
BOOL RES_SCREEN_4_Status

* Functions *
NOT LowFlowCutoff_NOT
OR CombinedShutdown_OR
OR ScreenActive_OR
XOR SingleScreen_XOR
NOT ScreenXor_NOT
AND ScreensConflict_AND

* Data Connections *
FT-101.PV, FFIC-103.PrimaryPV
FT-102.PV, FFIC-103.SecondaryPV
FFIC-103.SlaveSP, FIC-104.SP
FT-102.PV, FIC-104.PV
FIC-104.XOUT, FV-105.Control_Signal
FT-101.Low_Alarm, LowFlowCutoff_NOT.IN
LowFlowCutoff_NOT.OUT, FFIC-103.Auto
