* Function Blocks *
PID_BASIC FIC-302
VALVE_ELECTRIC FV-101
ANALOG_IN LI-201
VALVE_ON_OFF XV-010
VALVE_ON_OFF XV-011

* Variables *
REAL LI201_Level_Pct
REAL FIC302_MV_Percent_To_FV101
REAL FV101_Feedback_Position_Pct
BOOL XV010_Open_Feedback
BOOL XV011_Open_Feedback

* Functions *
AND V10_V11_OpenPermissive_AND
NOT AnyValveClosed_NOT
OR HighLevelOrValveClosed_OR
OR PID_Interlock_OR
NOT PID_AutoEnable_NOT

* Data Connections * 
LI-201.PV, FIC-302.PV
FIC-302.XOUT, FV-101.Control_Signal
XV-010.FB_Opened, V10_V11_OpenPermissive_AND.IN1
XV-011.FB_Opened, V10_V11_OpenPermissive_AND.IN2
V10_V11_OpenPermissive_AND.OUT, AnyValveClosed_NOT.IN
AnyValveClosed_NOT.OUT, HighLevelOrValveClosed_OR.IN1
FIC-302.PV_High_Alarm, HighLevelOrValveClosed_OR.IN2
HighLevelOrValveClosed_OR.OUT, FV-101.Inhibit
LI-201.General_Fault, PID_Interlock_OR.IN2
HighLevelOrValveClosed_OR.OUT, PID_Interlock_OR.IN1
PID_Interlock_OR.OUT, FIC-302.Inhibit
PID_Interlock_OR.OUT, PID_AutoEnable_NOT.IN
PID_AutoEnable_NOT.OUT, FIC-302.AUTO
LI-201.PV, LI201_Level_Pct
FIC-302.XOUT, FIC302_MV_Percent_To_FV101
FV-101.Feedback_Pos, FV101_Feedback_Position_Pct
XV-010.FB_Opened, XV010_Open_Feedback
XV-011.FB_Opened, XV011_Open_Feedback

* Parameter Data Connections *
6.25, LI-201.Scaling_Slope
-25.0, LI-201.Scaling_Offset
80.0, LI-201.PV_High
20.0, LI-201.PV_Low
TRUE, LI-201.Alarm_Enable
70.0, FIC-302.SP
0.0, FIC-302.MV_MIN
100.0, FIC-302.MV_MAX
25.0, FIC-302.X0
1.8, FIC-302.KP
2.0, FIC-302.TR
0.3, FIC-302.TD
90.0, FIC-302.PV_High
20.0, FIC-302.PV_Low
100.0, FV-101.Open_Limit
0.0, FV-101.Close_Limit

