* Function Blocks *
BOOL_IN LS-601
ANALOG_IN PT-601A
ANALOG_IN PT-601B
MOTOR_ON_OFF CL-601A
MOTOR_ON_OFF CL-601B
MOTOR_ON_OFF PS-601A
MOTOR_ON_OFF PS-601B
VALVE_ELECTRIC VS-601A
VALVE_ELECTRIC VS-601B
DUTY_STANDBY CL-601_DUTY_STANDBY
DUTY_STANDBY PS-601_DUTY_STANDBY

* Variables *
REAL PT_601A_DischargePressure_PV
REAL PT_601B_DischargePressure_PV
BOOL LS_601_BlanketLevelSwitchStatus
BOOL CL_601A_Running
BOOL CL_601B_Running
BOOL PS_601A_Running
BOOL PS_601B_Running
REAL VS_601A_Feedback_Position_Pct
REAL VS_601B_Feedback_Position_Pct
BOOL CL_601_ActiveIsA
BOOL PS_601_ActiveIsA
BOOL CL_601A_RunCmd
BOOL CL_601B_RunCmd
BOOL PS_601A_RunCmd
BOOL PS_601B_RunCmd

* Functions *
OR ClarifierRun_OR
NOT ClarifierNotRunning_NOT
TON ClarifierDuty_TON
TON ClarifierMinRun_TON
TON ClarifierSwitchoverDelay_TON
OR PumpRun_OR
NOT PumpNotRunning_NOT
TON PumpDuty_TON
TON PumpMinRun_TON
TON PumpSwitchoverDelay_TON
OR BlanketHigh_OR
OR PumpA_Inhibit_OR
OR PumpB_Inhibit_OR
OR ClarifierA_Inhibit_OR
OR ClarifierB_Inhibit_OR
OR SystemShutdown_OR
OR PumpFaultA_OR
OR PumpFaultB_OR

* Data Connections * 
AutoEnable_EQ.OUT, CL-601_DUTY_STANDBY.Enable
AutoEnable_EQ.OUT, CL-601_DUTY_STANDBY.StartRequest
AutoEnable_EQ.OUT, CL-601_DUTY_STANDBY.AlternateEnable
AutoEnable_EQ.OUT, PS-601_DUTY_STANDBY.Enable
AutoEnable_EQ.OUT, PS-601_DUTY_STANDBY.StartRequest
AutoEnable_EQ.OUT, PS-601_DUTY_STANDBY.AlternateEnable
CL-601A.FB_Running, ClarifierRun_OR.IN1
CL-601B.FB_Running, ClarifierRun_OR.IN2
ClarifierRun_OR.OUT, ClarifierDuty_TON.IN
ClarifierRun_OR.OUT, ClarifierMinRun_TON.IN
ClarifierRun_OR.OUT, ClarifierNotRunning_NOT.IN
ClarifierNotRunning_NOT.OUT, ClarifierSwitchoverDelay_TON.IN
ClarifierDuty_TON.Q, CL-601_DUTY_STANDBY.DutyElapsed
ClarifierMinRun_TON.Q, CL-601_DUTY_STANDBY.MinRunElapsed
ClarifierSwitchoverDelay_TON.Q, CL-601_DUTY_STANDBY.SwitchoverDelayElapsed
